Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, uppdelat per kön
Valt läsår: 2003/04

;;Flickor;Flickor;Flickor;Flickor;Flickor;Pojkar;Pojkar;Pojkar;Pojkar;Pojkar;
Kommun;Typ av huvudman;Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig nat. prog.;Genomsnittligt meritvärde (16);Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig nat. prog.;Genomsnittligt meritvärde (16);
Ale;Samtliga;167;47,9;72,5;89,2;209,1;182;52,1;69,8;85,2;192,7;
Ale;Kommunal;167;47,9;72,5;89,2;209,1;182;52,1;69,8;85,2;192,7;
Alingsås;Samtliga;276;50,5;77,5;92,8;226,8;270;49,5;84,4;95,9;212,9;
Alingsås;Kommunal;243;50,3;76,1;92,2;225,2;240;49,7;83,8;96,7;213,5;
Alingsås;Enskild;33;52,4;87,9;~100;238,5;30;47,6;90,0;~100;208,0;
Alvesta;Samtliga;126;50,8;81,0;92,1;209,8;122;49,2;69,7;84,4;177,8;
Alvesta;Kommunal;126;50,8;81,0;92,1;209,8;122;49,2;69,7;84,4;177,8;
Aneby;Samtliga;46;38,0;80,4;~100;215,9;75;62,0;76,0;89,3;185,3;
Aneby;Kommunal;46;38,0;80,4;~100;215,9;75;62,0;76,0;89,3;185,3;
Arboga;Samtliga;86;53,8;82,6;~100;224,8;74;46,3;79,7;~100;223,5;
Arboga;Kommunal;86;53,8;82,6;~100;224,8;74;46,3;79,7;~100;223,5;
Arjeplog;Samtliga;19;46,3;73,7;~100;224,7;22;53,7;81,8;100,0;216,1;
Arjeplog;Kommunal;19;46,3;73,7;~100;224,7;22;53,7;81,8;100,0;216,1;
Arvidsjaur;Samtliga;60;54,5;86,7;~100;215,8;50;45,5;88,0;~100;195,9;
Arvidsjaur;Kommunal;60;54,5;86,7;~100;215,8;50;45,5;88,0;~100;195,9;
Arvika;Samtliga;165;48,4;80,6;93,9;228,8;176;51,6;69,3;93,2;196,7;
Arvika;Kommunal;165;48,4;80,6;93,9;228,8;176;51,6;69,3;93,2;196,7;
Askersund;Samtliga;80;52,3;65,0;87,5;196,8;73;47,7;71,2;90,4;196,9;
Askersund;Kommunal;80;52,3;65,0;87,5;196,8;73;47,7;71,2;90,4;196,9;
Avesta;Samtliga;164;52,9;82,3;95,1;221,3;146;47,1;73,3;93,8;190,2;
Avesta;Kommunal;164;52,9;82,3;95,1;221,3;146;47,1;73,3;93,8;190,2;
Bengtsfors;Samtliga;65;50,0;72,3;89,2;209,9;65;50,0;76,9;90,8;195,4;
Bengtsfors;Kommunal;65;50,0;72,3;89,2;209,9;65;50,0;76,9;90,8;195,4;
Berg;Samtliga;52;43,3;80,8;90,4;213,7;68;56,7;76,5;89,7;195,1;
Berg;Kommunal;52;43,3;80,8;90,4;213,7;68;56,7;76,5;89,7;195,1;
Bjurholm;Samtliga;17;48,6;70,6;100,0;200,3;18;51,4;..;61,1;171,7;
Bjurholm;Kommunal;17;48,6;70,6;100,0;200,3;18;51,4;..;61,1;171,7;
Bjuv;Samtliga;101;51,3;71,3;84,2;199,5;96;48,7;62,5;88,5;184,0;
Bjuv;Kommunal;88;51,5;68,2;81,8;193,4;83;48,5;57,8;86,7;175,7;
Bjuv;Enskild;13;50,0;92,3;100,0;241,2;13;50,0;92,3;100,0;237,3;
Boden;Samtliga;172;47,8;86,6;91,3;232,4;188;52,2;82,4;91,0;204,9;
Boden;Kommunal;172;47,8;86,6;91,3;232,4;188;52,2;82,4;91,0;204,9;
Bollebygd;Samtliga;62;50,4;91,9;~100;224,5;61;49,6;75,4;88,5;203,6;
Bollebygd;Kommunal;62;50,4;91,9;~100;224,5;61;49,6;75,4;88,5;203,6;
Bollnäs;Samtliga;172;48,3;82,0;90,7;208,2;184;51,7;75,5;87,0;186,8;
Bollnäs;Kommunal;172;48,3;82,0;90,7;208,2;184;51,7;75,5;87,0;186,8;
Borgholm;Samtliga;80;47,3;66,3;88,8;206,4;89;52,7;55,1;85,4;185,4;
Borgholm;Kommunal;80;47,3;66,3;88,8;206,4;89;52,7;55,1;85,4;185,4;
