Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, uppdelat per kön
Valt läsår: 2015/16

;;Flickor, inklusive okänd bakgrund;Flickor, inklusive okänd bakgrund;Flickor, inklusive okänd bakgrund;Flickor, inklusive okänd bakgrund;Flickor, inklusive okänd bakgrund;Flickor, exklusive okänd bakgrund;Flickor, exklusive okänd bakgrund;Flickor, exklusive okänd bakgrund;Pojkar, inklusive okänd bakgrund ;Pojkar, inklusive okänd bakgrund ;Pojkar, inklusive okänd bakgrund ;Pojkar, inklusive okänd bakgrund ;Pojkar, inklusive okänd bakgrund ;Pojkar, exklusive okänd bakgrund ;Pojkar, exklusive okänd bakgrund ;Pojkar, exklusive okänd bakgrund ;
Kommun;Typ av huvudman;Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);
Ale;Samtliga;161;44,0;76,4;90,1;234,3;76,7;89,9;234,8;205;56,0;61,5;71,2;179,8;65,6;75,0;187,4;
Ale;Kommunal;149;43,4;75,2;89,3;232,7;75,5;89,1;233,3;194;56,6;59,3;69,6;175,8;63,5;73,5;183,6;
Ale;Enskild;12;52,2;91,7;100,0;253,5;91,7;100,0;253,5;11;47,8;100,0;100,0;245,7;100,0;100,0;245,7;
Alingsås;Samtliga;222;45,7;82,0;90,1;241,4;83,1;90,9;243,0;264;54,3;81,8;87,5;210,1;87,1;93,1;218,8;
Alingsås;Kommunal;184;45,9;79,9;88,6;237,1;81,2;89,5;239,0;217;54,1;79,3;85,3;205,9;85,6;92,0;216,3;
Alingsås;Enskild;38;44,7;92,1;~100;261,6;92,1;~100;261,6;47;55,3;93,6;~100;229,1;93,6;~100;229,1;
Alvesta;Samtliga;110;47,4;65,5;74,5;210,4;67,9;77,4;217,8;122;52,6;52,5;67,2;183,7;61,5;78,8;194,9;
Alvesta;Kommunal;110;47,4;65,5;74,5;210,4;67,9;77,4;217,8;122;52,6;52,5;67,2;183,7;61,5;78,8;194,9;
Aneby;Samtliga;31;58,5;90,3;~100;241,3;90,0;~100;243,3;22;41,5;90,9;~100;218,6;90,9;~100;218,6;
Aneby;Kommunal;31;58,5;90,3;~100;241,3;90,0;~100;243,3;22;41,5;90,9;~100;218,6;90,9;~100;218,6;
Arboga;Samtliga;82;51,9;76,8;89,0;231,3;76,8;89,0;231,3;76;48,1;64,5;78,9;212,5;66,2;81,1;216,8;
Arboga;Kommunal;82;51,9;76,8;89,0;231,3;76,8;89,0;231,3;76;48,1;64,5;78,9;212,5;66,2;81,1;216,8;
Arjeplog;Samtliga;10;38,5;..;..;246,0;..;..;246,0;16;61,5;87,5;~100;223,8;87,5;~100;223,8;
Arjeplog;Kommunal;10;38,5;..;..;246,0;..;..;246,0;16;61,5;87,5;~100;223,8;87,5;~100;223,8;
Arvidsjaur;Samtliga;35;45,5;71,4;82,9;220,9;71,4;82,9;220,9;42;54,5;78,6;83,3;208,2;78,6;83,3;208,2;
Arvidsjaur;Kommunal;35;45,5;71,4;82,9;220,9;71,4;82,9;220,9;42;54,5;78,6;83,3;208,2;78,6;83,3;208,2;
Arvika;Samtliga;133;42,0;80,5;88,0;229,2;81,7;89,3;229,2;184;58,0;58,7;70,7;191,0;73,5;88,4;202,1;
Arvika;Kommunal;103;37,7;76,7;84,5;219,0;78,2;86,1;219,0;170;62,3;57,1;68,2;188,2;72,9;87,2;200,2;
Arvika;Enskild;30;68,2;93,3;100,0;263,1;93,3;100,0;263,1;14;31,8;78,6;100,0;219,5;78,6;100,0;219,5;
Askersund;Samtliga;53;44,9;71,7;86,8;226,0;71,7;86,8;226,0;65;55,1;72,3;84,6;201,6;72,3;84,6;201,6;
Askersund;Kommunal;53;44,9;71,7;86,8;226,0;71,7;86,8;226,0;65;55,1;72,3;84,6;201,6;72,3;84,6;201,6;
Avesta;Samtliga;110;49,8;77,3;83,6;238,1;77,3;83,6;238,1;111;50,2;57,7;76,6;195,5;57,7;76,6;195,5;
Avesta;Kommunal;110;49,8;77,3;83,6;238,1;77,3;83,6;238,1;111;50,2;57,7;76,6;195,5;57,7;76,6;195,5;
Bengtsfors;Samtliga;47;42,3;72,3;85,1;248,5;73,9;87,0;248,5;64;57,7;51,6;68,8;200,1;64,7;86,3;211,2;
Bengtsfors;Kommunal;47;42,3;72,3;85,1;248,5;73,9;87,0;248,5;64;57,7;51,6;68,8;200,1;64,7;86,3;211,2;
Berg;Samtliga;33;34,0;81,8;84,8;237,3;93,1;~100;258,7;64;66,0;53,1;64,1;180,1;72,3;87,2;216,0;
Berg;Kommunal;33;34,0;81,8;84,8;237,3;93,1;~100;258,7;64;66,0;53,1;64,1;180,1;72,3;87,2;216,0;
Bjurholm;Samtliga;..;..;..;..;..;..;..;..;..;..;..;..;194,8;..;..;194,8;
Bjurholm;Kommunal;..;..;..;..;..;..;..;..;..;..;..;..;194,8;..;..;194,8;
Bjuv;Samtliga;84;47,2;82,1;90,5;231,5;81,9;90,4;231,2;94;52,8;54,3;71,3;181,9;68,0;89,3;203,6;
Bjuv;Kommunal;84;47,2;82,1;90,5;231,5;81,9;90,4;231,2;94;52,8;54,3;71,3;181,9;68,0;89,3;203,6;
Boden;Samtliga;153;49,5;88,9;92,8;241,7;91,2;95,3;247,4;156;50,5;75,0;82,7;205,7;86,7;95,6;220,9;
Boden;Kommunal;128;50,6;88,3;91,4;239,0;91,1;94,4;246,1;125;49,4;70,4;79,2;195,3;84,6;95,2;214,0;
Boden;Enskild;25;44,6;92,0;100,0;255,2;91,7;100,0;254,0;31;55,4;93,5;~100;243,6;93,5;~100;243,6;
Bollebygd;Samtliga;37;43,5;89,2;~100;251,4;89,2;~100;251,4;48;56,5;75,0;~100;218,8;75,0;~100;218,8;
Bollebygd;Kommunal;37;43,5;89,2;~100;251,4;89,2;~100;251,4;48;56,5;75,0;~100;218,8;75,0;~100;218,8;
Bollnäs;Samtliga;123;48,2;78,9;84,6;229,0;80,0;85,8;228,9;132;51,8;68,9;78,8;194,8;71,7;81,9;195,9;
Bollnäs;Kommunal;70;47,9;67,1;74,3;212,0;68,7;76,1;211,6;76;52,1;50,0;67,1;170,8;53,5;71,8;172,4;
Bollnäs;Enskild;53;48,6;94,3;~100;250,4;94,3;~100;250,4;56;51,4;94,6;~100;225,2;94,6;~100;225,2;
Borgholm;Samtliga;52;40,9;80,8;88,5;256,7;87,5;~100;256,7;75;59,1;52,0;57,3;212,8;83,0;~100;226,0;
Borgholm;Kommunal;52;40,9;80,8;88,5;256,7;87,5;~100;256,7;75;59,1;52,0;57,3;212,8;83,0;~100;226,0;
