Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, uppdelat per kön
Valt läsår: 2017/18

;;Samtliga elever;Samtliga elever;Samtliga elever;Samtliga elever;Flickor;Flickor;Flickor;Flickor;Flickor;Pojkar;Pojkar;Pojkar;Pojkar;Pojkar;
Kommun;Typ av huvudman;Antal elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);
Ale;Samtliga;389;78,1;85,6;224,9;175;45,0;82,3;86,9;237,0;214;55,0;74,8;84,6;214,9;
Ale;Kommunal;344;76,2;84,0;222,7;154;44,8;81,2;85,1;233,7;190;55,2;72,1;83,2;213,7;
Ale;Enskild;45;93,3;~100;241,4;21;46,7;90,5;100,0;260,6;24;53,3;95,8;~100;224,7;
Alingsås;Samtliga;488;79,7;87,5;230,2;229;46,9;83,4;90,4;247,7;259;53,1;76,4;84,9;214,5;
Alingsås;Kommunal;387;78,3;85,5;226,9;176;45,5;83,5;89,8;246,1;211;54,5;73,9;82,0;210,4;
Alingsås;Enskild;101;85,1;95,0;243,0;53;52,5;83,0;~100;252,8;48;47,5;87,5;~100;231,9;
Alvesta;Samtliga;248;57,7;69,8;190,2;119;48,0;58,8;71,4;201,0;129;52,0;56,6;68,2;180,2;
Alvesta;Kommunal;248;57,7;69,8;190,2;119;48,0;58,8;71,4;201,0;129;52,0;56,6;68,2;180,2;
Aneby;Samtliga;82;75,6;84,1;205,4;40;48,8;85,0;87,5;216,5;42;51,2;66,7;81,0;194,8;
Aneby;Kommunal;81;76,5;85,2;205,9;40;49,4;85,0;87,5;216,5;41;50,6;68,3;82,9;195,6;
Aneby;Enskild;..;.;.;..;..;..;.;.;.;..;..;.;.;..;
Arboga;Samtliga;156;79,5;87,8;228,9;87;55,8;82,8;88,5;239,0;69;44,2;75,4;87,0;216,2;
Arboga;Kommunal;156;79,5;87,8;228,9;87;55,8;82,8;88,5;239,0;69;44,2;75,4;87,0;216,2;
Arjeplog;Samtliga;37;67,6;75,7;201,2;14;37,8;..;~100;214,5;23;62,2;73,9;73,9;193,2;
Arjeplog;Kommunal;37;67,6;75,7;201,2;14;37,8;..;~100;214,5;23;62,2;73,9;73,9;193,2;
Arvidsjaur;Samtliga;52;86,5;90,4;226,3;27;51,9;85,2;~100;240,6;25;48,1;88,0;~100;210,8;
Arvidsjaur;Kommunal;52;86,5;90,4;226,3;27;51,9;85,2;~100;240,6;25;48,1;88,0;~100;210,8;
Arvika;Samtliga;278;78,4;86,0;219,4;140;50,4;83,6;90,7;238,3;138;49,6;73,2;81,2;199,7;
Arvika;Kommunal;227;75,8;84,1;212,3;104;45,8;81,7;89,4;230,5;123;54,2;70,7;79,7;196,3;
Arvika;Enskild;51;90,2;~100;250,8;36;70,6;88,9;~100;260,9;15;29,4;93,3;~100;226,7;
Askersund;Samtliga;97;77,3;89,7;224,3;49;50,5;77,6;89,8;233,9;48;49,5;77,1;89,6;214,6;
Askersund;Kommunal;97;77,3;89,7;224,3;49;50,5;77,6;89,8;233,9;48;49,5;77,1;89,6;214,6;
Avesta;Samtliga;227;54,6;65,6;200,9;94;41,4;59,6;64,9;213,2;133;58,6;51,1;66,2;192,5;
Avesta;Kommunal;227;54,6;65,6;200,9;94;41,4;59,6;64,9;213,2;133;58,6;51,1;66,2;192,5;
Bengtsfors;Samtliga;87;66,7;75,9;224,2;53;60,9;75,5;86,8;248,1;34;39,1;52,9;58,8;185,2;
Bengtsfors;Kommunal;87;66,7;75,9;224,2;53;60,9;75,5;86,8;248,1;34;39,1;52,9;58,8;185,2;
Berg;Samtliga;81;76,5;79,0;223,7;38;46,9;81,6;86,8;247,6;43;53,1;72,1;72,1;202,6;
Berg;Kommunal;81;76,5;79,0;223,7;38;46,9;81,6;86,8;247,6;43;53,1;72,1;72,1;202,6;
Bjurholm;Samtliga;28;71,4;71,4;207,9;15;53,6;..;..;208,8;13;46,4;84,6;~100;206,9;
Bjurholm;Kommunal;28;71,4;71,4;207,9;15;53,6;..;..;208,8;13;46,4;84,6;~100;206,9;
Bjuv;Samtliga;179;67,6;79,9;210,7;85;47,5;71,8;80,0;226,8;94;52,5;63,8;79,8;196,0;
Bjuv;Kommunal;179;67,6;79,9;210,7;85;47,5;71,8;80,0;226,8;94;52,5;63,8;79,8;196,0;
